text,label
,1
"Subject: re : 2 . 882 s - > np np

> date : sun , 15 dec 91 02 : 25 : 02 est > : michael < mmorse @ vm1 . yorku . ca > > subject : re : 2 . 864 queries > > wlodek zadrozny asks is "" anything interesting "" said > construction "" s > np np "" . . . second , > much related : might consider construction form > has been discussed list late reduplication ? > logical sense "" john mcnamara name "" is tautologous thus , > level , indistinguishable "" , , here ? "" . ' john mcnamara name ' is tautologous is support those logic-based semantics is irrelevant natural language . sense is tautologous ? supplies value attribute followed attribute is value . fact value name-attribute relevant entity were ' chaim shmendrik ' , ' john mcnamara name ' false . tautology , . ( reduplication , either . )
",1
"Subject: s - > np + np

discussion s - > np + np reminds years ago read , source forgotten , critique newsmagazines ' unique tendencies writing style , most writer found overly "" cute "" . one item was tersely put down follows : "" 's favorite : colon . "" - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - lee hartman ga5123 @ siucvmb . bitnet department foreign languages southern illinois university carbondale , il 62901 u . s . .
",1
"Subject: job : montreal

poste de professeur , e regulier , ere en phonologie le departement de linguistique de l ' uqam sollicite des candidatures pour un poste regulier temps complet en phonologie profil des fonctions : . enseignement et encadrement aux etudes de premier cycle et aux etudes avan - cees . . assurer la vitalite de la recherche dans le domaine de la specialite . . services la communaute . exigences : . ph . d . en linguistique . . experience d ' enseignement universitaire . . solide dossier de publications recentes dans des revues avec jury , attestant une competence dans le domaine vise . date d ' entree en fonction : 1er juillet 1992 l ' uqam souscrit un programme d ' acces l ' egalite des femmes en emploi . con - formement aux exigences relatives l ' immigration au canada , ce poste est - fert aux citoyens-es et aux residents-es permanentes-es . traitement : selon la convention collective spuq-uqam . les personnes interesses sont priees de faire parvenir un curriculum vitae en francais , date et signe , incluant le nom , l ' adresse et le numero de telephone de trois repondants , avant le 15 mai 1992 : m . robert . papen , directeur , departement de linguistique , uqam , c . p . 8888 , succ . , montreal ( quebec ) h3c 3p8 . telephone : 514-987 - 8416 ; telecopieur : 514-987 - 4652 ; e-mail : r14730 @ uqam
",1
"Subject: job announcement

job announcement department linguistics university ottawa invites applications eighteen month replacement position rank assistant professor , effective july 1 , 1995 . requirements : ph . d . linguistics , proof excellence research , ability teach courses both official languages ( english french ) . preferred area specialization is phonetics / phonology experimental orientation demonstrated interest theoretical phonology . our department boasts extremely well-equipped research laboratory dedicated electronics technologist . preference given candidates are willing exploit develop resource . salary is commensurate qualifications experience , keeping collective agreement . candidates are invited address applications cv , three letters recommendation , copies representative publications : eta schneiderman , chair department linguistics university ottawa ottawa , ontario k1n 6n5 canada ( fax : ( 613 ) 564-9067 ) applications received before january 15 , 1995 are guaranteed consideration , although department continue consider applications until final decision is made . university ottawa has employment equity policy strongly encourages applications women . accordance canadian immigration requirements , advertisement is directed canadian citizens permanent residents canada . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * annonce de poste le departement de linguistique de l ' universite d ' ottawa annonce un poste de remplacement de dix-huit mois au niveau de professeur ( e ) adjoint ( e ) partir du 1er juillet 1995 . exigences : doctorat en linguistique , preuves d ' excellence en recherche , capacite d ' enseigner dans les deux langues officielles ( anglais et francais ) . le domaine de specialisation souhaite est la phonetique / phonologie avec une orientation experimentale et un interet marque pour la theorie phonologique . notre departement possede un laboratoire de recherche extremement bien equipe auquel se rattache un technicien specialise en electronique . la preference ira aux candidat ( e ) s pret ( e ) s exploiter cette ressource . le salaire sera conforme la convention collective . les interesse ( e ) s sont prie ( e ) s d ' envoyer leur c . v . , trois lettres de recommandation , des copies de leurs publications pertinentes et / ou travaux de recherche : eta schneiderman , directrice departement de linguistique universite d ' ottawa ottawa , ontario k1n 6n5 canada ( telecopieur : ( 613 ) 564-9067 ) les candidatures recues avant le 15 janvier sont assurees d ' etre prises en consideration , mais le departement se reserve la possibilite de considerer les candidatures recues une date ulterieure jusqu ' ce que la decision finale soit prise . l ' universite d ' ottawa une politique d ' equite en matiere d ' emploi et encourage fortement les femmes presenter leur candidature . conformement aux exigences d ' immigration du canada , cette annonce s ' adresse aux citoyens / citoyennes et aux immigrant ( e ) s recu ( e ) s .
",1
"Subject: translators needed women women !

am posting following message friends are list : * language skills help women survivors war bosnia croatia ? women women , u . s . based , nonprofit sponsorship program sending letters money each month region , is desperately seeking volunteer translators . translate letters both english . even manage handful letters each month , lighten load few translators . information , call our office ( 703 ) 519-1730 , leave message zainab robin . thank ! * send e-mail message mima @ seur . voa . gov forward * women women : .
",1
"Subject: contributions solicited germanic generative syntax newsletter

germanic generative syntax newsletter ( ggsn ) appears twice paper electronic form . contains bibliography unpublished papers syntax germanic languages overview over recent published literature . addition , frequently contains abstracts , conference announcements descriptions , job announcements , special bibliographies , email addresses researchers field . are getting ready put together 's fall issue solicit contributions type described above . note , however , space considerations usually publish information modern english . please send material want included next issue gert webelhuth webelhuth @ unc . edu before november 12 . subscribe newsletter , send email same address , specifying whether receive newsletter paper electronice form . scarcity funds , is greatly appreciated opted electronic version . gert webelhuth university north carolina american editor ggsn email address correspondence : webelhuth @ unc . edu
",1
"Subject: celiac / oaxaca native literacy project

memo is going scholars might interested acquiring native-language texts being produced mexico celiac . please pass colleagues might wish acquire texts . celiac 's indigenous-language books are published hard copy disk . 1995 , available audio tape . posted several long messages history celiac , formerly called oaxaca native literacy project . copies those postings , please let . russ bernard ( university florida , leave 1994-95 university cologne ) books available celiac order celiac ( centro editorial en literatura indigena , . c . ) is - for-profit , indigenous-language publishing center oaxaca , mexico . celiac 's books are published perfect-bound , paperback editions pc disk files . most celiac 's books cost $ 30 per volume . tiburcio perez ' book totonac poetry ( book # 1 list below ) costs $ 60 . contains 53 color drawings author . prices include shipping u . s . canada , mexico . countries , add $ 10 per volume . disk versions celiac books are ms-dos , wordperfect 5 . 1 format . disks cost $ 30 each purchased separately , are $ 10 purchase book . proceeds sales celiac books support indigenous authors support distribution books local schools . following is list books available press . ( note : show special characters , barred dieresis , e - mail . , however , show spanish enye n ^ . ) 1 . x ' tachwin x ' tatlin li tutunaku ( palabra y canto de los totonacos ) , tiburcio perez gonzalez ( jun ) . poetry totonac spanish . over 50 original color illustrations author . publication date : 1994 . cost : $ 60 . 00 usc 2 . dillzaan nha ' kalhjagok ' ks ( cuentos y leyendas en idioma zapoteco de la sierra norte ; area cajonof : yaganiza , san mateo , xagacia , y carizal ) , alfredo rios belem . zapotec . publication 3 . na kaa iyo yo chi nuu chikua ' ( la vida cotidiana de jicayan , volume ) , josefa leonarda gonzalez ventura . mixtec . publication date : march , 1993 . cost : $ 30 . 00 usc 4 . la vida cotidiana de jicayan . ( na kaa iyo yo chi nuu chikua ' volume ) , josefa leonarda gonzalez ventura . spanish . publication date : march 1994 . cost : $ 30 . 00 usc 5 . lala ia ti jujmi ki tsa ko wi ( asi se cuenta en el idioma chinanteco de ojitlan ) , fidel pereda ramon bartola morales garcia . chinantec . publication date : late 1994 . 6 . te ' en ni tui nuu yo ( asi se fundo nuestro pueblo ) , pablo hernandez hernandez . mixtec . publication date : late 1994 . 7 . ra nt ' emee maya ' mu ' ne mapaya ( la religion tradicional y religion contemporanea ) , jesus salinas pedraza . nahn ^ u ( otomi ) spanish . publication date : mid - 1994 . english edition book is available h . r . bernard j . salinas , native ethnography , sage publications , 1989 . spanish n ^ ahn ^ u , late 1994 early 1995 . 8 . ra ' mede ra hnini ra dexto ( historia de la comunidad de el dexto ) , jesus salinas pedraza . nahn ^ u spanish . publication date : early 1995 . 9 . yelesi ' che bene ' golhe jseshe ( los conocimientos de los ancianos de yatzachi el bajo ) , digna salvador eugenio . zapotec spanish . publication date : late - 1994 . 10 . tyusu cha nakatyi nuyivi nuu kasando ' o ( cuentos que narra la gente de jamiltepec ) , miguel lopez hernandez . mixtec spanish . publication date : late 1994 celiac 's books purchased directly celiac . contact box 1530 , oaxaca , oax . mexico 68000 , celiac , avenida ejercito mexicano 1107 , colonia ampliacion dolores , oaxaca , oaxaca , 68020 mexico . payment celiac books made international bank draft , wire funds directly celiac . details spanish , contact celiac e-mail celiac @ laneta . igc . apc . org , call jesus salinas josefa gonzalez celiac : 011-52 - 951-59725 59729 . details english , contact contact h . russell bernard 904-376 - 4544 ( fax : 904-376 - 8617 ) , e-mail ufruss @ nervm . nerdc . ufl . edu wish sponsor native author celiac , help celiac purchase computer village , underwrite distribution celiac 's books village schools , contact russell bernard ( address above ) . tax-deductible contributions project are handled university florida foundation , inc . contact jesus salinas josefa gonzalez phone , mail , e-mail ( addresses above ) 'd visit celiac .
",1
"Subject: george aditjondro

dr george aditjondro , prominent indonesian academic satya wacana university salatiga , central java , remains risk imminent arrest peaceful academic political activities . was arrested 8 october was country . has since returned , 12 october , dr aditjondro received second summons charges "" insulting government authority body "" , under article 207 indonesian criminal code , charge carries maximum penalty 18 months imprisonment . detained , dr aditjondro prisoner conscience . second summons requires report yogyakarta police 10am 15 october . does clarify whether dr aditjondro is wanted witness suspect . held questioned suspect , dr aditjondro face prosecution imprisonment . pretext charge against dr aditjondro appears arise comments made during panel discussion universitas islam indonesia ( uii ) yogyakarta august . amnesty international believes , however , authorities are attempting punish dr aditjondro past criticism government policy relating human rights environmental concerns indonesia east timor , further , charge intended prevent taking part peaceful activities prior during asia pacific economic cooperation ( apec ) meetings held jakarta mid - november . amnesty international is concerned , since issuance first summons 5 october , dr aditjondro has been subjected intensive surveillance military intelligence officers resort military command ( korem ) salatiga , both home place work . under indonesia 's code criminal procedure ( kuhap ) , police military , bear sole responsibility arrest suspects . since military intelligence authorities lawful role play dr aditjondro 's case , amnesty international considers activities recent days form harassment . background information charge against dr george aditjondro is symptomatic marked escalation official harassment intimidation alleged government critics recent months . measures included prevention breaking meetings seminars , arbitrary arrest human rights activists , torture ill-treatment political detainees . human rights violations against labour activists are part pattern . muchtar pakpahan , chairman independent trade union , sbsi , is currently trial along least nine others , accused "" inciting "" workers demonstrate strike . amnesty international believes measures against alleged government critics has increased preparation apec meetings november , attract considerable international domestic media coverage . further recommended action : please send telegrams / faxes / express airmail letters : - expressing concern dr george aditjondro remains imminent danger arrest peaceful expression views ; - urging charge against dr aditjondro immediately unconditionally dropped ; - expressing concern current level intimidation harassment alleged government critics , including academics , lawyers , journalists human rights activists . appeals : minister state : drs moerdiono [ salutation : dear minister moerdiono ] menteri negara jl veteran 17 jakarta , indonesia faxes : ( c / o - foreign ministry ) + 62 21 36 0517 7781 7782 telegrams : menteri negara , jakarta , indonesia military commander region iv / diponegoro : brig gen soerjadi [ salutation : dear brig gen soerjadi ] pangdam iv / diponegoro markas besar kodam iv diponegoro semarang jawa tengah , indonesia telegrams : pangdam iv / diponegoro , jawa tengah , indonesia chief police yogyakarta : gen ( pol ) drs madra s banurusman [ salutation : dear gen ( pol ) banurusman ] kapolda yogyakarta markas besar kepolisian diy yogyakarta , indonesia telegrams : kapolda yogyakarta , indonesia please send copies appeals : excellency mr junus effendy habibie , embassy indonesia , 38 grosvenor square , london w1x 9ad [ please responses topic addresses diplomatic representatives countries ] , possible , following : minister foreign affairs : ali alatas sh menteri luar negeri jl medan taman pejambon 6 jakarta , indonesia faxes : + 62 21 36 0517 7781 7782 chair national commission human rights : ali said sh ketua komisi nasional hak azasi manusia jalan veteran 11 jakarta , indonesia faxes : ( c / o ministry justice ) + 62 21 314 1625 please send appeals immediately . please send appeals after 10 november 1994 . + - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - + + queries urgent action + + ua scheme general , please contact : + + ray mitchell + + amnesty international british section + + 99 - 119 rosebery avenue + + london ec1r 4re email : rmitchellai @ gn . apc . org + + - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - +
",1
"Subject: ua appeal : arief budiman

urgent action appeal : re : unhonorable discharge dr . arief budiman university satya wacana , salatiga , indonesia dr . arief budiman , one most consistent defenders freedom speech indonesia outspoken critic indonesian government , was fired position senior lecturer post graduate department christian university satya wacana ( uksw ) , salatiga , indonesia . letter dismissal effect october 31st , 1994 , was issued october 17th , was cosigned prof . haryono semangun ( chairman ) drs . nelky oemboe nganggoe ( secretary ) university 's board trustees . letter said dr . budiman has been unhonorably discharged following critique ethics adopted university . was accused circulating issues discrediting university 's board trustees rector . dr . budiman actually did was publicly expressing critical opinion againts board 's controversial decision appoinment rector , dr . john ihalauw . previously , dr . budiman received two letters reprimand board , specific "" misconduct "" was mentioned both letters . two additional notes must mentioned . first , over board has been under constant pressures majority faculty members , students , administrative staffs university revoke appointment rector , was considered illegitimate . same academic community has expressed public support dr . budiman 's initiative file lawsuit againts board . secondly , is taking place increasingly sweeping clamp - down intellectual activism has been heightening past two weeks , presumably preparation upcoming apec summit jakarta november . is possibility dismissal was intended punishing dr . budiman closing opportunities continue expressing criticism indonesian authorities . separate case , dr . george junus aditjondro , another uksw 's lecturer close friend dr . budiman , is still under police 's interrogation insulting state authorities while speaking seminar another campus . arbitrary measure againts dr . budiman has demonstrated academic institution uksw has violated principles freedom speech has threatened democratic atmosphere within academic community . dismissal detrimental world-wide known reputation uksw one committed universities , dynamic indonesia intelectual academic life . members academic communities individuals are concerned maintenance freedom speech , express our concern arbitrary action . please send letter , fax , call board trustess uksw : - expressing concern unhonorable discharge dr . arief budiman - asking board reconsider decision dr . arif budiman opportunity defend himself front university 's senate academic community general . mailing address : prof . dr . ir . haryono semangun ketua umum dewan pengurus yayasan perguruan tinggi kristen satya wacana ( board trustees satya wacana christian university ) jl . diponegoro 52-60 salatiga 50711 indonesia phones : ( 62 ) ( 298 ) - , 81362 , 81363 , 81364 fax : ( 62 ) ( 298 ) 81420 telex : 22364 ukswsa ia information , e-mail : amrih widodo awidodo @ facstaff . uwisc . edu heri akhmadi jpnn @ clark . net
",1
