Ngay,MaCK,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTriGD,SoLuongNamGiu
2024-10-02,HPG,26000.0,27300.0,24700.0,24700.0,8604246.0,212524876200.0,100000.0
2024-03-20,FPT,117900.0,122700.0,113100.0,116600.0,862699.0,100590703400.0,25000.0
2024-08-22,MSN,91100.0,93500.0,88700.0,93200.0,1503009.0,140080438800.0,35000.0
2024-08-12,MSN,91800.0,93600.0,90100.0,92600.0,5211975.0,482628885000.0,35000.0
2024-02-22,HPG,27100.0,27800.0,26400.0,27000.0,648951.0,17521677000.0,100000.0
2024-01-09,GAS,120300.0,123400.0,117200.0,118000.0,2361643.0,278673874000.0,20000.0
2024-09-26,HPG,26600.0,27400.0,25700.0,26900.0,8945040.0,240621576000.0,100000.0
2024-05-13,HPG,22800.0,25000.0,22400.0,25000.0,5441534.0,136038350000.0,100000.0
2024-10-14,SAB,149200.0,155300.0,148000.0,151100.0,3154686.0,476673054600.0,15000.0
2024-05-05,HPG,22800.0,23500.0,22100.0,22600.0,9023617.0,203933744200.0,100000.0
2024-08-08,HPG,27300.0,28400.0,26200.0,28200.0,3721758.0,104953575600.0,100000.0
2024-10-08,HPG,24500.0,24900.0,24100.0,24100.0,5964473.0,143743799300.0,100000.0
2024-10-21,VIC,42300.0,43500.0,41000.0,42200.0,5819956.0,245602143200.0,60000.0
2024-09-03,VHM,72900.0,74300.0,71400.0,72600.0,1142471.0,82943394600.0,40000.0
2024-07-22,SAB,153100.0,157500.0,100.0,100.0,4945240.5,494524050.0,15000.0
2024-11-13,HPG,23100.0,500000.0,23100.0,23100.0,9691040.0,223863024000.0,100000.0
2024-03-16,FPT,119400.0,122100.0,116600.0,120300.0,603438.0,72593591400.0,25000.0
2024-02-02,GAS,132200.0,135000.0,129400.0,134900.0,3868017.0,521795493300.0,20000.0
2024-02-10,VIC,49000.0,50200.0,47800.0,48900.0,1309527.0,64035870300.0,60000.0
2024-11-18,FPT,101400.0,102500.0,100300.0,101100.0,2497116.0,252458427600.0,25000.0
2024-05-30,VIC,39500.0,40100.0,38900.0,39400.0,8552065.0,336951361000.0,60000.0
2024-05-06,FPT,99500.0,101100.0,97900.0,100000.0,4948044.0,494804400000.0,25000.0
2024-05-06,MSN,90900.0,92100.0,89600.0,89800.0,8846037.0,794374122600.0,35000.0
2024-03-09,GAS,126400.0,130800.0,122000.0,129900.0,8982150.0,1166781285000.0,20000.0
2024-03-15,VHM,67200.0,69000.0,65500.0,65900.0,8382462.0,552404245800.0,40000.0
2024-04-15,SAB,147100.0,151700.0,142500.0,144600.0,3493694.0,505188152400.0,15000.0
2024-11-01,VNM,73600.0,75100.0,72000.0,72800.0,1551891.0,112977664800.0,50000.0
2024-12-04,FPT,96700.0,99900.0,93400.0,96200.0,2853752.0,274530942400.0,25000.0
2024-05-19,MSN,77500.0,78800.0,76200.0,76500.0,2298941.0,175868986500.0,35000.0
2024-09-02,VIC,50100.0,51700.0,48500.0,51600.0,7149971.0,368938503600.0,60000.0
2024-12-04,MSN,77300.0,80400.0,74200.0,74600.0,1638858.0,122258806800.0,35000.0
2024-12-29,PLX,51000.0,53500.0,48500.0,52600.0,6508056.0,342323745600.0,45000.0
2024-05-09,VIC,40200.0,41700.0,38800.0,41500.0,6212781.0,257830411500.0,60000.0
2024-09-26,FPT,112600.0,115700.0,109500.0,110800.0,5645857.0,625560955600.0,25000.0
2024-02-15,VCB,104600.0,109000.0,100200.0,100800.0,4088322.0,412102857600.0,30000.0
2024-03-13,VHM,71300.0,72900.0,69800.0,70600.0,2944753.0,207899561800.0,40000.0
2024-11-25,MSN,75500.0,76500.0,74400.0,75800.0,7866506.0,596281154800.0,35000.0
2024-05-08,FPT,98500.0,100000.0,97000.0,99900.0,4924146.0,491922185400.0,25000.0
2024-04-21,MSN,81900.0,82800.0,80900.0,82600.0,5033713.0,415784693800.0,35000.0
2024-04-21,FPT,97400.0,101300.0,93500.0,93800.0,2906534.0,272632889200.0,25000.0
2024-09-05,PLX,61500.0,63300.0,59700.0,61600.0,9440179.0,581515026400.0,45000.0
2024-02-18,VIC,48700.0,50000.0,47400.0,49200.0,2570813.0,126483999600.0,60000.0
2024-12-11,VCB,89400.0,90900.0,88000.0,89400.0,5227981.0,467381501400.0,30000.0
2024-09-10,SAB,166000.0,171400.0,160700.0,169800.0,842591.0,143071951800.0,15000.0
2024-04-09,MSN,83500.0,87500.0,79600.0,83300.0,5085332.5,423608197250.0,35000.0
2024-11-30,MSN,75900.0,78100.0,73800.0,77800.0,568040.0,44193512000.0,35000.0
2024-12-16,VCB,86800.0,91000.0,82600.0,86700.0,8256283.0,715819736100.0,30000.0
2024-06-29,HPG,23800.0,24300.0,23400.0,24200.0,6024933.0,145803378600.0,100000.0
2024-10-18,MSN,80200.0,83100.0,77200.0,77900.0,1955245.0,152313585500.0,35000.0
2024-10-17,GAS,120600.0,125800.0,115400.0,117200.0,1844237.0,216144576400.0,20000.0
2024-05-11,PLX,48800.0,49500.0,48100.0,48200.0,797741.0,38451116200.0,45000.0
2024-02-23,VHM,70500.0,72600.0,68400.0,72400.0,5806605.0,420398202000.0,40000.0
2024-07-01,VIC,44200.0,45400.0,43100.0,44000.0,7391231.0,325214164000.0,60000.0
2024-11-15,MSN,77500.0,79100.0,77400.0,77400.0,3211315.0,248555781000.0,35000.0
2024-12-29,MSN,81400.0,83500.0,79300.0,81700.0,2157154.0,176239481800.0,35000.0
2024-08-19,VCB,102500.0,106100.0,98900.0,99500.0,549707.0,54695846500.0,30000.0
2024-09-27,FPT,116300.0,121500.0,111100.0,114100.0,9936740.0,1133782034000.0,25000.0
2024-12-26,VHM,63400.0,66200.0,60700.0,63600.0,9748772.0,620021899200.0,40000.0
2024-08-14,HPG,27700.0,28900.0,26500.0,27900.0,8562767.0,238901199300.0,100000.0
2024-04-03,SAB,147800.0,500000.0,145900.0,145900.0,1638464.0,239051897600.0,15000.0
2024-11-22,FPT,99900.0,103500.0,96300.0,102300.0,3373456.0,345104548800.0,25000.0
2024-09-23,VIC,47000.0,48700.0,45300.0,47900.0,7405550.0,354725845000.0,60000.0
2024-09-12,GAS,130000.0,132100.0,119800.0,119800.0,1116975.0,133813605000.0,20000.0
2024-09-21,VCB,102000.0,104900.0,99000.0,101000.0,7704044.0,778108444000.0,30000.0
2024-12-22,MSN,78500.0,79400.0,77600.0,78300.0,2223339.0,174087443700.0,35000.0
2024-03-07,SAB,161700.0,165300.0,158200.0,158700.0,6044816.0,959312299200.0,15000.0
2024-09-20,VIC,48500.0,50100.0,46800.0,48300.0,9572812.0,462366819600.0,60000.0
2024-11-04,PLX,52500.0,54200.0,50700.0,53000.0,7710159.0,408638427000.0,45000.0
2024-03-19,GAS,126900.0,132900.0,119800.0,119800.0,845069.0,101239266200.0,20000.0
2024-01-28,PLX,60000.0,61200.0,58700.0,59700.0,5413237.0,323170248900.0,45000.0
2024-08-25,GAS,119800.0,136700.0,119800.0,131400.0,740067.0,97244803800.0,20000.0
2024-01-21,HPG,25900.0,26800.0,25000.0,25300.0,5870276.0,148517982800.0,100000.0
2024-08-06,HPG,27400.0,28600.0,26200.0,28400.0,7656166.0,217435114400.0,100000.0
2024-11-12,VIC,39800.0,41700.0,37900.0,38100.0,6243895.0,237892399500.0,60000.0
2024-07-14,HPG,25100.0,26000.0,24200.0,25100.0,5435551.0,136432330100.0,100000.0
2024-05-28,VNM,71100.0,74500.0,67600.0,69200.0,6448238.0,446218069600.0,50000.0
2024-02-23,SAB,167900.0,175800.0,100.0,100.0,3204931.0,320493100.0,15000.0
2024-05-09,VCB,85300.0,87900.0,82700.0,87500.0,8672159.0,758813912500.0,30000.0
2024-01-30,VNM,86300.0,88500.0,84100.0,88300.0,6624702.0,584961186600.0,50000.0
2024-05-20,GAS,108700.0,112900.0,104400.0,108400.0,5175814.0,561058237600.0,20000.0
2024-03-04,SAB,166100.0,167900.0,164300.0,165300.0,3124041.0,516403977300.0,15000.0
2024-02-29,PLX,61600.0,63500.0,59600.0,62100.0,4389492.0,272587453200.0,45000.0
2024-02-29,MSN,76200.0,77200.0,75200.0,75700.0,8528791.0,645629478700.0,35000.0
2024-01-25,SAB,162600.0,164800.0,160500.0,161900.0,7794720.0,1261965168000.0,15000.0
2024-08-07,FPT,119000.0,122800.0,115200.0,121900.0,9065789.0,1105119679100.0,25000.0
2024-12-02,FPT,97500.0,101800.0,93200.0,100500.0,5481601.0,550900900500.0,25000.0
2024-12-13,VNM,74000.0,76000.0,72000.0,72000.0,7590677.0,546528744000.0,50000.0
2024-01-12,FPT,113000.0,116500.0,109500.0,110400.0,6278046.0,693096278400.0,25000.0
2024-10-26,HPG,23800.0,24900.0,22600.0,23900.0,2714070.0,64866273000.0,100000.0
2024-01-26,PLX,59000.0,61500.0,56400.0,60500.0,8726407.0,527947623500.0,45000.0
2024-10-18,GAS,119400.0,124500.0,114200.0,116600.0,3352202.0,390866753200.0,20000.0
2024-03-17,MSN,91100.0,92700.0,89500.0,91900.0,1923578.0,176776818200.0,35000.0
2024-03-03,PLX,60600.0,63200.0,58100.0,59900.0,7851732.0,470318746800.0,45000.0
2024-08-13,VCB,102700.0,104800.0,100700.0,103600.0,1717419.0,177924608400.0,30000.0
2024-01-30,VHM,69200.0,70200.0,68100.0,68900.0,7411469.0,510650214100.0,40000.0
2024-01-12,HPG,26100.0,26900.0,25400.0,26600.0,2459569.0,65424535400.0,100000.0
2024-02-28,VNM,89800.0,93900.0,85700.0,87200.0,3957130.0,345061736000.0,50000.0
2024-06-16,VNM,76700.0,78700.0,74600.0,78200.0,5482086.0,428699125200.0,50000.0
2024-06-06,GAS,110800.0,119800.0,110800.0,113200.0,4925072.0,557518150400.0,20000.0
2024-12-19,FPT,100700.0,103800.0,97500.0,100900.0,8784517.0,886357765300.0,25000.0
2024-09-29,VCB,98600.0,101600.0,95100.0,95100.0,6485549.0,616775709900.0,30000.0
2024-10-17,MSN,82400.0,86300.0,78400.0,78600.0,6845696.0,538071705600.0,35000.0
2024-06-30,GAS,117400.0,119300.0,115600.0,116700.0,4791970.0,559222899000.0,20000.0
2024-03-16,VNM,84700.0,85700.0,83600.0,84800.0,7874622.0,667767945600.0,50000.0
2024-12-24,VCB,92000.0,95800.0,88100.0,95300.0,3040724.0,289780997200.0,30000.0
2024-01-22,PLX,58400.0,59400.0,57300.0,58800.0,5316387.0,312603555600.0,45000.0
