Ngay,LoaiVang,GiaMua,GiaBan,KhoiLuongGiaoDich,TyGiaUSD,DiaDiem
2024-03-11,PNJ,76259586.0,77384889.0,66.0,23144.0,HCM
2024-01-05,BTMC,74907360.0,76092800.0,426.0,22782.0,HN
2024-06-06,PNJ,72670948.0,74064825.0,405.0,22529.0,HN
2024-01-29,BTMC,74596249.0,75746038.0,181.0,23100.0,DN
2024-02-27,PNJ,75629918.0,76659910.0,210.0,23180.0,DN
2024-02-21,SJC,75746590.0,76403677.0,90.0,22869.0,HN
2024-05-24,DOJI,75380388.0,76560816.0,241.0,22998.0,DN
2024-06-16,SJC,74200475.0,75519947.0,257.0,23249.0,HCM
2024-06-10,SJC,74261179.0,75334270.0,457.0,23422.0,HN
2024-06-03,SJC,76356922.0,75080881.0,378.0,23290.0,HCM
2024-04-14,SJC,74338084.0,75518416.0,149.0,22530.0,HN
2024-02-28,PNJ,74438904.0,75153336.0,354.0,23235.0,HCM
2024-03-02,DOJI,75856277.0,77219940.0,342.0,23154.0,DN
2024-01-20,BTMC,75848693.0,76732627.0,194.0,22700.0,HN
2024-03-28,BTMC,74107037.0,75584200.0,84.0,23278.0,HN
2024-05-23,SJC,75294630.0,76282066.0,145.0,22997.0,HCM
2024-01-16,PNJ,75632130.0,76246482.0,148.0,23047.0,HCM
2024-01-31,DOJI,74131329.0,74778879.0,164.0,23254.0,DN
2024-03-13,SJC,74750740.0,76114143.0,337.0,22934.0,DN
2024-02-27,BTMC,74887698.0,76370167.0,131.0,22896.0,HCM
2024-01-24,PNJ,74131107.0,75543366.0,233.0,22780.0,HN
2024-01-26,SJC,75710309.0,76839783.0,420.0,22514.0,HN
2024-05-12,DOJI,74832709.0,76199905.0,454.0,23107.0,HN
2024-06-06,BTMC,72506995.0,73095297.0,384.0,22940.0,HN
2024-04-19,DOJI,76304438.0,77190331.0,423.0,23477.0,HN
2024-06-25,SJC,76933233.0,77872960.0,389.0,22846.0,DN
2024-04-21,PNJ,74180989.0,75598143.0,148.0,23124.0,HN
2024-01-24,DOJI,74329297.0,74940492.0,219.0,23328.0,HCM
2024-03-09,BTMC,74725571.0,75906052.0,101.0,23123.0,DN
2024-01-03,BTMC,74033643.0,74667410.0,112.0,22638.0,HN
2024-04-29,DOJI,74313083.0,75009458.0,123.0,22665.0,DN
2024-01-07,DOJI,74948815.0,75464523.0,308.0,23159.0,HN
2024-01-05,SJC,73973548.0,74671834.0,220.0,23040.0,HCM
2024-04-09,PNJ,73668932.0,74386160.0,281.0,23147.0,HCM
2024-02-20,BTMC,72215048.0,73475629.0,122.0,22858.0,DN
2024-06-29,PNJ,75452053.0,76098312.0,241.0,22824.0,HN
2024-05-12,SJC,75514399.0,76483157.0,424.0,23337.0,DN
2024-03-06,BTMC,75788963.0,77018145.0,319.0,23332.0,HCM
2024-01-22,BTMC,72698168.0,73679848.0,161.0,23266.0,HCM
2024-01-02,PNJ,75070406.0,75919863.0,437.0,23100.0,HN
2024-05-24,SJC,76602571.0,77908695.0,490.0,23403.0,HN
2024-01-13,BTMC,74349916.0,75564914.0,125.0,22653.0,DN
2024-04-15,SJC,74853207.0,75914104.0,386.0,23367.0,DN
2024-03-13,BTMC,75335512.0,76403341.0,397.0,23296.0,DN
2024-03-02,BTMC,75119612.0,76070612.0,303.0,23420.0,DN
2024-04-02,BTMC,74825494.0,75638221.0,343.0,23295.0,HN
2024-05-22,SJC,75772454.0,76555460.0,455.0,22887.0,HCM
2024-03-21,PNJ,72830817.0,73976778.0,147.0,22643.0,HCM
2024-05-31,SJC,75710864.0,76393554.0,452.0,23415.0,DN
2024-04-07,SJC,73394423.0,74464810.0,474.0,23057.0,HCM
