name,location,price,area,time
"2 tỷ/100m2 full thổ cư sổ đỏ, mặt tiền 6-8m tại CNC Hoà Lạc, gần chợ, QL21, trung tâm hành chính","Xã Hòa Thạch, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m² Mặt tiền 6 m,08/10/2025
Chính chủ bán T10: Studio 1tỷ755; 1PN+ 2.84 tỷ; 2PN 3.365 tỷ; 2PN+ 4.3 tỷ; 3PN 4tỷ960 Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","1,76 tỷ ~70,2 triệu/m²",25 m²,
"Hàng F0 chính chủ 2 tỷ/100m2 full thổ cư sổ đỏ CNC Hoà Lạc, MT 6m, oto tránh nhau, gần chợ, QL21","Xã Phú Cát, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m²,13/10/2025
"Chính chủ cần bán gấp lô góc 100m2 ngay DT416, nằm ở trung tâm Xã, ngay Thị Xã Sơn Tây, gần CNC","Đường Quốc lộ 21A(Quốc lộ 21), Phường Kim Sơn, Sơn Tây, Hà Nội",20 triệu/m² ~2 tỷ,100 m² Mặt tiền 8 m,
"Duy nhất 1 lô chỉ bán trong 3 ngày. 100m2 full thổ cư mà chỉ 1,980 tỷ. Phú Cát, Quốc Oai","Đường Quốc lộ 21A(Quốc lộ 21), Xã Phú Cát, Quốc Oai, Hà Nội","1,98 tỷ ~19,8 triệu/m²",100 m² Mặt tiền 6 m,
Chính chủ bán 5 lô đất tại phường Tùng Thiện Sơn Tây. Diện tích trên 100m giá hơn 1 tỷ. Gần trường.,"Đường 21, Xã Thanh Mỹ, Sơn Tây, Hà Nội","1,7 tỷ ~15,71 triệu/m²","108,2 m² Mặt tiền 6 m",
Bán gấp - chung cư mini thông Trích Sài - Tây Hồ - 52m2 - ban công - gần ô tô - gần bệnh viện,"Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội","1,98 tỷ ~38,08 triệu/m²",52 m²,
"Giá tốt 2 tỷ sở hữu lô đất 100m2 full TC tại Hoà Trúc, Phú Cát, Hà Nội, view hồ đường thông MT 6,2m","Xã Hòa Thạch, Quốc Oai, Hà Nội",2 tỷ ~20 triệu/m²,100 m² Mặt tiền 6.2 m,
"Chính chủ Bán mảnh đất Full thổ cư tại Quan Châm Minh Đức Ứng Hoà 97,7m2","Xã Minh Đức, Ứng Hòa, Hà Nội","1,1 tỷ ~11,26 triệu/m²","97,7 m²",
"Cần chuyển nhượng mảnh đất kinh doanh 74,9m2 tại Chuôn Ngọ, Chuyên Mỹ, Phú Xuyên","Xã Chuyên Mỹ, Phú Xuyên, Hà Nội","1,85 tỷ ~24,7 triệu/m²","74,9 m² Mặt tiền 13.6 m",
"Chính Chủ Bán Gấp Lô Góc Siêu Đẹp Tại Xuân Khanh, Hoà Lạc, Sơn Tây Giá Chỉ Từ 1,8 tỷ - Sẵn sổ","Đường Hữu Nghị, Phường Xuân Khanh, Sơn Tây, Hà Nội","1,8 tỷ ~36 triệu/m²",50 m² Mặt tiền 5 m,
"2 tỷ/100m2 full thổ, mặt tiền hơn 6m, tại CNC Hoà Lạc, gần chợ, QL21, trung tâm hành chính, sẵn sổ","Đường Hoà Thạch, Xã Phú Cát, Quốc Oai, Hà Nội",2 tỷ ~20 triệu/m²,100 m²,
Tôi chính chủ bán lô đất 110m full thổ giá rẻ hơn thị trường 1.5giá (có ra lộc),"Xã Trần Phú, Chương Mỹ, Hà Nội","1,68 tỷ ~15,27 triệu/m²",110 m²,
"Chính chủ bán 80m2 đất ở, giá 1,45 tỷ","Xã Phù Linh, Sóc Sơn, Hà Nội","1,45 tỷ ~18,12 triệu/m²",80 m² Mặt tiền 5.15 m,
"Cắt lỗ - chung cư mini Thái Hà - Chùa Bộc 28 - 50m2, giá 1.29 tỷ - 1.9 tỷ, nhận nhà ở luôn","Phường Trung Liệt, Đống Đa, Hà Nội","1,29 tỷ ~34,86 triệu/m²",37 m²,
"Chính chủ bán 83,8 m2 đất thổ cư Chương Mỹ, sẵn sổ đỏ 1,5 tỷ","Xã Trần Phú, Chương Mỹ, Hà Nội","1,5 tỷ ~17,9 triệu/m²","83,8 m²",
"Bán đất tại Xã Phú Cát, Quốc Oai, Hà Nội, 1,9 tỷ, 100m2, view đẹp","Xã Phú Cát, Quốc Oai, Hà Nội","1,9 tỷ ~19 triệu/m²",100 m² Mặt tiền 11 m,
"Bán gấp chung cư mini A1 bến xe Mỹ Đình - Phạm Hùng - Nam Từ Liêm, nội thất đầy đủ, 30-55m2","Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội","1,25 tỷ ~41,67 triệu/m²",30 m²,
"Lô góc gần 70m2 siêu đẹp - đường nhựa 10m, giá chưa đến 2 tỷ cách bến xe Yên Nghĩa 20km","Xã Đồng Tâm, Mỹ Đức, Hà Nội","1,95 tỷ ~28,47 triệu/m²","68,5 m² Mặt tiền 4.21 m",
Chính chủ - cần bán đất tại Xã Xuân Mai - Hà Nội Diện tích 150m2 (100 thổ cư). Pháp lý: Sổ đỏ riêng,"Xã Nam Phương Tiến, Chương Mỹ, Hà Nội","1,8 tỷ ~12 triệu/m²",150 m² Mặt tiền 5 m,
"Cắt lỗ 300 triệu chính chủ cần bán gấp lô 100m² ngay trung tâm xã, khu dân cư đông đúc.","Đường Quốc lộ 21A(Quốc lộ 21), Xã Cổ Đông, Sơn Tây, Hà Nội",3 tỷ ~30 triệu/m²,100 m² Mặt tiền 5 m,
Studio tòa Tonkin 1 - chính chủ cần bán gấp Vinhomes Smart City rẻ nhất thị trường.,"Dự án The Tonkin - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,5 tỷ ~87,41 triệu/m²","28,6 m²",
"2 tỷ/100m2 full thổ cư sổ đỏ, mặt tiền 6-8m tại CNC Hoà Lạc, gần chợ, QL21, trung tâm hành chính","Xã Hòa Thạch, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m² Mặt tiền 6 m,08/10/2025
"ĐẤT NỀN ĐẸP TẠI CỔ ĐÔNG, ĐƯỜNG TRƯỚC ĐẤT HƠN 8m, GIÁ CHỈ 3.x TỶ. LIÊN HỆ NGAY: E HƯỜNG 0976 232 ***","Xã Cổ Đông, Sơn Tây, Hà Nội",30 triệu/m² ~3 tỷ,100 m² Mặt tiền 5.8 m,
"Bán đất nền tại Đường Phú Cát, Hòa Thạch, Quốc Oai, Hà Nội, giá siêu hời 22 triệu / m2, 100m2","Đường Phú Cát, Xã Hòa Thạch, Quốc Oai, Hà Nội","22 triệu/m² ~2,2 tỷ",100 m² Mặt tiền 9 m,
"Quỹ căn đầu tư giá rẻ phân khu Sapphire, Zenpark, Masteri, Zurich, Beverly,LD,PR Vinhomes OceanPark","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,9 tỷ ~67,44 triệu/m²",43 m²,
"2.9tỷ/100m2 full thổ cư sổ đỏ, trục chính Cổ Đông, gần chợ QL21, CNC Hoà Lạc,DHQG,2 oto tránh nhau","Xã Cổ Đông, Sơn Tây, Hà Nội","29 triệu/m² ~2,9 tỷ",100 m² Mặt tiền 6 m,
Tôi Chủ Nhà Bán 08 căn :STU-1PN+ 2PN+3PN đi nước ngoài-Sẵn Nội Thất-HD thuê 9.5tr-Vinhome SMARTCITY,"Vinhomes Smart City , Tây Mỗ, Nam Từ Liêm, Hà Nội","2,37 tỷ ~84,64 triệu/m²",28 m²,
"Cạnh Đại Học Quốc Gia Hà Nội, FPT cách công nghệ cao Hòa Lạc 500m, giá 3tỷ DT 110m gần quốc lộ 21.","Xã Thạch Hòa, Thạch Thất, Hà Nội","3 tỷ ~27,27 triệu/m²",110 m² Mặt tiền 7 m,
"Bán gấp đất nền 100m2, 2,3 tỷ tại Xã Phú Cát, Quốc Oai, Hà Nội","Xã Phú Cát, Quốc Oai, Hà Nội","2,3 tỷ ~23 triệu/m²",100 m² Mặt tiền 8 m,
"Hàng F0 chính chủ 2 tỷ/100m2 full thổ cư sổ đỏ CNC Hoà Lạc, MT 6m, oto tránh nhau, gần chợ, QL21","Xã Phú Cát, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m²,13/10/2025
"Ban quản lý dự án Vinhomes quỹ căn tháng 10 chính chủ studio 1PN 2PN 3PN, miễn phí trung gian","Dự án Vinhomes Ocean Park Gia Lâm, Đường An Đào, Xã Dương Xá, Gia Lâm, Hà Nội","2,75 tỷ ~63,95 triệu/m²",43 m²,
"Chính chủ cần bán: Studio 1,63 tỷ, 1PN 2,9 tỷ. 2PN 3,9tỷ. 3PN 5,1tỷ tại Vinhomes Smart City","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,43 tỷ ~75,94 triệu/m²",32 m²,
"Quỹ căn giá tốt nhất thị trường phân khu Paris,London,Beverly,zurich cập nhật tháng 10/2025","Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,35 tỷ ~81,03 triệu/m²",29 m²,
QUỸ CĂN MỚI NHẤT THÁNG 10/2025 - PHÂN KHU SAPPHIRE VINHOMES OCEAN PARK,"Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội","2,35 tỷ ~87,04 triệu/m²",27 m²,
