name,location,price,area,time
"2 tỷ/100m2 full thổ cư sổ đỏ, mặt tiền 6-8m tại CNC Hoà Lạc, gần chợ, QL21, trung tâm hành chính","Xã Hòa Thạch, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m² Mặt tiền 6 m,08/10/2025
Chính chủ bán T10: Studio 1tỷ755; 1PN+ 2.84 tỷ; 2PN 3.365 tỷ; 2PN+ 4.3 tỷ; 3PN 4tỷ960 Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","1,76 tỷ ~70,2 triệu/m²",25 m²,
"Hàng F0 chính chủ 2 tỷ/100m2 full thổ cư sổ đỏ CNC Hoà Lạc, MT 6m, oto tránh nhau, gần chợ, QL21","Xã Phú Cát, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m²,13/10/2025
"Chính chủ cần bán gấp lô góc 100m2 ngay DT416, nằm ở trung tâm Xã, ngay Thị Xã Sơn Tây, gần CNC","Đường Quốc lộ 21A(Quốc lộ 21), Phường Kim Sơn, Sơn Tây, Hà Nội",20 triệu/m² ~2 tỷ,100 m² Mặt tiền 8 m,
"Duy nhất 1 lô chỉ bán trong 3 ngày. 100m2 full thổ cư mà chỉ 1,980 tỷ. Phú Cát, Quốc Oai","Đường Quốc lộ 21A(Quốc lộ 21), Xã Phú Cát, Quốc Oai, Hà Nội","1,98 tỷ ~19,8 triệu/m²",100 m² Mặt tiền 6 m,
Chính chủ bán 5 lô đất tại phường Tùng Thiện Sơn Tây. Diện tích trên 100m giá hơn 1 tỷ. Gần trường.,"Đường 21, Xã Thanh Mỹ, Sơn Tây, Hà Nội","1,7 tỷ ~15,71 triệu/m²","108,2 m² Mặt tiền 6 m",
Bán gấp - chung cư mini thông Trích Sài - Tây Hồ - 52m2 - ban công - gần ô tô - gần bệnh viện,"Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội","1,98 tỷ ~38,08 triệu/m²",52 m²,
"Giá tốt 2 tỷ sở hữu lô đất 100m2 full TC tại Hoà Trúc, Phú Cát, Hà Nội, view hồ đường thông MT 6,2m","Xã Hòa Thạch, Quốc Oai, Hà Nội",2 tỷ ~20 triệu/m²,100 m² Mặt tiền 6.2 m,
"Chính chủ Bán mảnh đất Full thổ cư tại Quan Châm Minh Đức Ứng Hoà 97,7m2","Xã Minh Đức, Ứng Hòa, Hà Nội","1,1 tỷ ~11,26 triệu/m²","97,7 m²",
"Cần chuyển nhượng mảnh đất kinh doanh 74,9m2 tại Chuôn Ngọ, Chuyên Mỹ, Phú Xuyên","Xã Chuyên Mỹ, Phú Xuyên, Hà Nội","1,85 tỷ ~24,7 triệu/m²","74,9 m² Mặt tiền 13.6 m",
Nhỉnh 1 tỷ - 114m2 - Vị trí gần trường đại học - Tiện ích đầy đủ - Giao thông thuận tiện,"Đường Quốc lộ 21A(Quốc lộ 21), Xã Cổ Đông, Sơn Tây, Hà Nội","1,8 tỷ ~15,79 triệu/m²",114 m² Mặt tiền 5 m,
"CẦN TIỀN CẮT LỖ SÂU 1.8 TỶ LÔ 75.8M-MT 7M-CẠNH ĐẠI LỘ-KẾ BÊN ĐHQG-ĐÓN SÓNG TUYẾN METRO 5,0394 632 ***","Đường Đại lộ Thăng Long, Xã Tiến Xuân, Thạch Thất, Hà Nội","1,8 tỷ ~23,75 triệu/m²","75,8 m² Mặt tiền 7 m",
"Chính Chủ Bán Gấp Lô Góc Siêu Đẹp Tại Xuân Khanh, Hoà Lạc, Sơn Tây Giá Chỉ Từ 1,8 tỷ - Sẵn sổ","Đường Hữu Nghị, Phường Xuân Khanh, Sơn Tây, Hà Nội","1,8 tỷ ~36 triệu/m²",50 m² Mặt tiền 5 m,
"2 tỷ/100m2 full thổ, mặt tiền hơn 6m, tại CNC Hoà Lạc, gần chợ, QL21, trung tâm hành chính, sẵn sổ","Đường Hoà Thạch, Xã Phú Cát, Quốc Oai, Hà Nội",2 tỷ ~20 triệu/m²,100 m²,
"Bán đất tại Xã Phú Cát, Quốc Oai, Hà Nội, 1,9 tỷ, 100m2, view đẹp","Xã Phú Cát, Quốc Oai, Hà Nội","1,9 tỷ ~19 triệu/m²",100 m² Mặt tiền 11 m,
"Bán gấp chung cư mini A1 bến xe Mỹ Đình - Phạm Hùng - Nam Từ Liêm, nội thất đầy đủ, 35-55m2","Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội","1,25 tỷ ~35,71 triệu/m²",35 m²,
Chính chủ - cần bán đất tại Xã Xuân Mai - Hà Nội Diện tích 150m2 (100 thổ cư). Pháp lý: Sổ đỏ riêng,"Xã Nam Phương Tiến, Chương Mỹ, Hà Nội","1,8 tỷ ~12 triệu/m²",150 m² Mặt tiền 5 m,
MỞ BÁN NHÀ Ở XÃ HỘI TÂN LẬP - TÂN TÂY ĐÔ DÀNH CHO NGƯỜI THU NHẬP THẤP GIÁ RẺ A/C NHANH TAY Ạ,"Khu đô thị mới Tân Tây Đô, Quốc lộ 32, Tân Lập, Đan Phượng, Hà Nội","1,7 tỷ ~30,91 triệu/m²",55 m²,
Bán gấp lô đất phân lô giãn dân làn 2 đường 21A 2 mặt tiền đẹp,"Đường 21A, Xã Mỹ Lương, Chương Mỹ, Hà Nội","1,8 tỷ ~23,08 triệu/m²",78 m² Mặt tiền 5.2 m,13/10/2025
"Giá Tốt Nhất Thị Trường: Lô Đất 50m² Full Thổ Tại Sơn Tây Chỉ 1,87 Tỷ!","Đường Hữu Nghị, Phường Xuân Khanh, Sơn Tây, Hà Nội","1,87 tỷ ~37,4 triệu/m²",50 m² Mặt tiền 5 m,
Tôi Chủ Nhà Bán 08 căn :STU-1PN+ 2PN+3PN đi nước ngoài-Sẵn Nội Thất-HD thuê 9.5tr-Vinhome SMARTCITY,"Vinhomes Smart City , Tây Mỗ, Nam Từ Liêm, Hà Nội","2,37 tỷ ~84,64 triệu/m²",28 m²,
"2 tỷ/100m2 full thổ cư sổ đỏ, mặt tiền 6-8m tại CNC Hoà Lạc, gần chợ, QL21, trung tâm hành chính","Xã Hòa Thạch, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m² Mặt tiền 6 m,08/10/2025
"Cạnh Đại Học Quốc Gia Hà Nội, FPT cách công nghệ cao Hòa Lạc 500m, giá 3tỷ DT 110m gần quốc lộ 21.","Xã Thạch Hòa, Thạch Thất, Hà Nội","3 tỷ ~27,27 triệu/m²",110 m² Mặt tiền 7 m,
"Bán gấp đất nền 100m2, 2,3 tỷ tại Xã Phú Cát, Quốc Oai, Hà Nội","Xã Phú Cát, Quốc Oai, Hà Nội","2,3 tỷ ~23 triệu/m²",100 m² Mặt tiền 8 m,
"Hàng F0 chính chủ 2 tỷ/100m2 full thổ cư sổ đỏ CNC Hoà Lạc, MT 6m, oto tránh nhau, gần chợ, QL21","Xã Phú Cát, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m²,13/10/2025
"Quỹ căn đầu tư giá rẻ phân khu Sapphire, Zenpark, Masteri, Zurich, Beverly,LD,PR Vinhomes OceanPark","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,9 tỷ ~67,44 triệu/m²",43 m²,
"Ban quản lý dự án Vinhomes quỹ căn tháng 10 chính chủ studio 1PN 2PN 3PN, miễn phí trung gian","Dự án Vinhomes Ocean Park Gia Lâm, Đường An Đào, Xã Dương Xá, Gia Lâm, Hà Nội","2,75 tỷ ~63,95 triệu/m²",43 m²,
"Chính chủ cần bán: Studio 1,63 tỷ, 1PN 2,9 tỷ. 2PN 3,9tỷ. 3PN 5,1tỷ tại Vinhomes Smart City","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,43 tỷ ~75,94 triệu/m²",32 m²,
"Quỹ căn giá tốt nhất thị trường phân khu Paris,London,Beverly,zurich cập nhật tháng 10/2025","Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,35 tỷ ~81,03 triệu/m²",29 m²,
QUỸ CĂN MỚI NHẤT THÁNG 10/2025 - PHÂN KHU SAPPHIRE VINHOMES OCEAN PARK,"Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội","2,35 tỷ ~87,04 triệu/m²",27 m²,
"Siêu hot tôi bán 08 CH : Stu 1,76 tỷ 1PN 2,9 tỷ 2PN 3,6tỷ 2PN + 4,2 tỷ 3PN 4,95 tỷ tại Smat city","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,3 tỷ ~76,67 triệu/m²",30 m²,
"Bán gấp căn studio tòa S302, 30.8m2, 2tỷ535 full đồ xịn, Đông Nam, Vinhomes Smart City","Dự án The Sapphire - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.","2,54 tỷ ~79,22 triệu/m²",32 m²,
"Em Thúy bán 09 căn hộ mới các căn studio, 1PN +, 2PN, 3PN Masteri West Heights giá từ 2 tỷ 350","Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,35 tỷ ~77,3 triệu/m²","30,4 m²",
