name,location,price,area,time,link_url,total_price,price_per_square,Dien_Tich,Mat_Tien
"2 tỷ/100m2 full thổ cư sổ đỏ, mặt tiền 6-8m tại CNC Hoà Lạc, gần chợ, QL21, trung tâm hành chính","Xã Hòa Thạch, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m² Mặt tiền 6 m,08/10/2025,"https://batdongsan.com.vn/ban-dat-xa-hoa-thach/hon-2-ty-100m2-full-tho-cu-so-do-mat-tien-6-8m-tai-cnc-lac-gan-cho-ql21-trung-tam-hanh-chinh-pr44214237
",2 tỷ,20 triệu/m² ,100 m²,6 m
Chính chủ bán T10: Studio 1tỷ755; 1PN+ 2.84 tỷ; 2PN 3.365 tỷ; 2PN+ 4.3 tỷ; 3PN 4tỷ960 Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","1,76 tỷ ~70,2 triệu/m²",25 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-t7-studio-1ty755-1pn-2-84-ty-2pn-3-365-ty-2pn-4-18ty-3pn-4ty960-city-pr43910714
","1,76 tỷ ","70,2 triệu/m²",25 m²,
"Hàng F0 chính chủ 2 tỷ/100m2 full thổ cư sổ đỏ CNC Hoà Lạc, MT 6m, oto tránh nhau, gần chợ, QL21","Xã Phú Cát, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m²,13/10/2025,"https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/hang-f0-chinh-chu-2ty-100m2-full-tho-cu-so-do-cnc-hoalac-tien-6m-gan-cho-ql21-trung-tam-hanh-chinh-pr44255749
",2 tỷ,20 triệu/m² ,100 m²,
"Chính chủ cần bán gấp lô góc 100m2 ngay DT416, nằm ở trung tâm Xã, ngay Thị Xã Sơn Tây, gần CNC","Đường Quốc lộ 21A(Quốc lộ 21), Phường Kim Sơn, Sơn Tây, Hà Nội",20 triệu/m² ~2 tỷ,100 m² Mặt tiền 8 m,2025,"https://batdongsan.com.vn/ban-dat-duong-quoc-lo-21a-quoc-lo-21-phuong-kim-son-6/chinh-chu-can-ban-gap-goc-100m2-ngay-dt416-nam-o-trung-tam-xa-ngay-thi-xa-tay-gan-cnc-pr44261150
",2 tỷ,20 triệu/m² ,100 m²,8 m
"Duy nhất 1 lô chỉ bán trong 3 ngày. 100m2 full thổ cư mà chỉ 1,980 tỷ. Phú Cát, Quốc Oai","Đường Quốc lộ 21A(Quốc lộ 21), Xã Phú Cát, Quốc Oai, Hà Nội","1,98 tỷ ~19,8 triệu/m²",100 m² Mặt tiền 6 m,2025,"https://batdongsan.com.vn/ban-dat-duong-quoc-lo-21a-quoc-lo-21-xa-phu-cat-1/duy-nhat-1-chi-ban-trong-3-ngay-100m2-full-tho-cu-ma-chi-1-980-ty-oai-pr44289756
","1,98 tỷ ","19,8 triệu/m²",100 m²,6 m
Chính chủ bán 5 lô đất tại phường Tùng Thiện Sơn Tây. Diện tích trên 100m giá hơn 1 tỷ. Gần trường.,"Đường 21, Xã Thanh Mỹ, Sơn Tây, Hà Nội","1,7 tỷ ~15,71 triệu/m²","108,2 m² Mặt tiền 6 m",2025,"https://batdongsan.com.vn/ban-dat-duong-21-1-xa-thanh-my-3/chinh-chu-ban-5-lo-tai-phuong-tung-thien-son-tay-dien-tich-tren-100m-gia-hon-1-ty-gan-truong-pr44288137
","1,7 tỷ ","15,71 triệu/m²","108,2 m²",6 m
Bán gấp - chung cư mini thông Trích Sài - Tây Hồ - 52m2 - ban công - gần ô tô - gần bệnh viện,"Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội","1,98 tỷ ~38,08 triệu/m²",52 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-lac-long-quan-phuong-buoi/ban-gap-tay-giang-van-minh-doi-ba-dinh-tu-900tr-so-ng-vinh-vien-pr37692757
","1,98 tỷ ","38,08 triệu/m²",52 m²,
"Giá tốt 2 tỷ sở hữu lô đất 100m2 full TC tại Hoà Trúc, Phú Cát, Hà Nội, view hồ đường thông MT 6,2m","Xã Hòa Thạch, Quốc Oai, Hà Nội",2 tỷ ~20 triệu/m²,100 m² Mặt tiền 6.2 m,2025,"https://batdongsan.com.vn/ban-dat-xa-hoa-thach/gia-tot-2ty-so-huu-lo-100mfuuk-tc-tai-truc-phu-cat-ha-noi-wie-ho-duong-thong-mat-6-20-pr44104297
",2 tỷ ,20 triệu/m²,100 m²,6.2 m
"Chính chủ Bán mảnh đất Full thổ cư tại Quan Châm Minh Đức Ứng Hoà 97,7m2","Xã Minh Đức, Ứng Hòa, Hà Nội","1,1 tỷ ~11,26 triệu/m²","97,7 m²",2025,"https://batdongsan.com.vn/ban-dat-xa-minh-duc-8/chinh-chu-ban-manh-full-tho-cu-tai-quan-cham-ung-hoa-97-7m2-pr44235673
","1,1 tỷ ","11,26 triệu/m²","97,7 m²",
"Cần chuyển nhượng mảnh đất kinh doanh 74,9m2 tại Chuôn Ngọ, Chuyên Mỹ, Phú Xuyên","Xã Chuyên Mỹ, Phú Xuyên, Hà Nội","1,85 tỷ ~24,7 triệu/m²","74,9 m² Mặt tiền 13.6 m",2025,"https://batdongsan.com.vn/ban-dat-xa-chuyen-my/can-nhuong-manh-kinh-doanh-74-9m2-tai-chuon-ngo-phu-xuyen-pr44235653
","1,85 tỷ ","24,7 triệu/m²","74,9 m²",13.6 m
