id,name,rate,price,description,link_product
0,Smart Tivi QLED Samsung 4K 65 inch QA65Q65D,4.9,13.990.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '65 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2024'}",https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-65-inch-qa65q65d?utm_flashsale=1
1,Smart Tivi QLED Samsung 4K 75 inch QA75Q65D,4.9,18.990.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '75 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2024'}",https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-75-inch-qa75q65d?utm_flashsale=1
2,Smart Tivi QLED Samsung 4K 55 inch QA55Q60B,4.9,11.990.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '55 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, Tấm nền: VA LCD, LED viền kết hợp Dual LED, VA LCD', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2022'}",https://www.dienmayxanh.com/tivi/smart-qled-4k-55-inch-samsung-qa55q60b?utm_flashsale=1
3,Smart Tivi QLED Samsung 4K 43 inch QA43Q60B,4.9,8.990.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '43 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, Tấm nền: VA LCD, LED viền kết hợp Dual LED, VA LCD', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2022'}",https://www.dienmayxanh.com/tivi/smart-qled-4k-43-inch-samsung-qa43q60b?utm_flashsale=1
4,Smart Tivi QLED Samsung 4K 85 inch QA85Q60D,4.9,44.100.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '85 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền (Edge LED), LED viền (Edge LED)', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2024'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-4k-85-inch-qa85q60d
5,Smart Tivi QLED Samsung 4K 55 inch QA55Q65D,4.9,14.450.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '55 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2024'}",https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-55-inch-qa55q65d
6,Smart Tivi QLED Samsung AI 4K 65 inch QA65Q8F5,4.9,18.450.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '65 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-65-inch-qa65q8f5
7,Smart Tivi QLED Samsung AI 4K 55 inch QA55Q8F5,4.9,15.490.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '55 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-55-inch-qa55q8f5?utm_flashsale=1
8,Smart Tivi QLED Samsung 4K 65 inch QA65Q60C,4.9,18.590.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '65 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền kết hợp Dual LED, Tấm nền: VA LCD, LED viền kết hợp Dual LED, VA LCD', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-65-inch-samsung-qa65q60c
9,Smart Tivi QLED Samsung AI 4K 55 inch QA55Q7FA,4.9,15.450.000₫,"{'Loại Tivi': 'Smart Tivi QLED', 'Kích cỡ màn hình': '55 inch', 'Độ phân giải': '4K (Ultra HD)', 'Loại màn hình': 'Đèn nền: LED viền (Edge LED), LED viền (Edge LED)', 'Hệ điều hành': 'Tizen™', 'Chất liệu chân đế': 'Nhựa', 'Chất liệu viền tivi': 'Nhựa', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025'}",https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-55-inch-qa55q7fa
