id,name,rate,price,link_product,Loại Tivi,Kích cỡ màn hình,Độ phân giải,Loại màn hình,Hệ điều hành,Chất liệu chân đế,Chất liệu viền tivi,Nơi sản xuất,Năm ra mắt
0,Smart Tivi QLED Samsung 4K 65 inch QA65Q65D,4.9,13.990.000,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-65-inch-qa65q65d?utm_flashsale=1,Smart Tivi QLED,65 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED",Tizen™,Nhựa,Nhựa,Việt Nam,2024
1,Smart Tivi QLED Samsung 4K 75 inch QA75Q65D,4.9,18.990.000,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-75-inch-qa75q65d?utm_flashsale=1,Smart Tivi QLED,75 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED",Tizen™,Nhựa,Nhựa,Việt Nam,2024
2,Smart Tivi QLED Samsung 4K 55 inch QA55Q60B,4.9,11.990.000,https://www.dienmayxanh.com/tivi/smart-qled-4k-55-inch-samsung-qa55q60b?utm_flashsale=1,Smart Tivi QLED,55 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, Tấm nền: VA LCD, LED viền kết hợp Dual LED, VA LCD",Tizen™,Nhựa,Nhựa,Việt Nam,2022
3,Smart Tivi QLED Samsung 4K 43 inch QA43Q60B,4.9,8.990.000,https://www.dienmayxanh.com/tivi/smart-qled-4k-43-inch-samsung-qa43q60b?utm_flashsale=1,Smart Tivi QLED,43 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, Tấm nền: VA LCD, LED viền kết hợp Dual LED, VA LCD",Tizen™,Nhựa,Nhựa,Việt Nam,2022
4,Smart Tivi QLED Samsung 4K 85 inch QA85Q60D,4.9,44.100.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-4k-85-inch-qa85q60d,Smart Tivi QLED,85 inch,4K (Ultra HD),"Đèn nền: LED viền (Edge LED), LED viền (Edge LED)",Tizen™,Nhựa,Nhựa,Việt Nam,2024
5,Smart Tivi QLED Samsung 4K 55 inch QA55Q65D,4.9,14.450.000,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-55-inch-qa55q65d,Smart Tivi QLED,55 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED",Tizen™,Nhựa,Nhựa,Việt Nam,2024
6,Smart Tivi QLED Samsung AI 4K 65 inch QA65Q8F5,4.9,18.450.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-65-inch-qa65q8f5,Smart Tivi QLED,65 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED",Tizen™,Nhựa,Nhựa,Việt Nam,2025
7,Smart Tivi QLED Samsung AI 4K 55 inch QA55Q8F5,4.9,15.490.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-55-inch-qa55q8f5?utm_flashsale=1,Smart Tivi QLED,55 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED",Tizen™,Nhựa,Nhựa,Việt Nam,2025
8,Smart Tivi QLED Samsung 4K 65 inch QA65Q60C,4.9,18.590.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-65-inch-samsung-qa65q60c,Smart Tivi QLED,65 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, Tấm nền: VA LCD, LED viền kết hợp Dual LED, VA LCD",Tizen™,Nhựa,Nhựa,Việt Nam,2023
9,Smart Tivi QLED Samsung AI 4K 55 inch QA55Q7FA,4.9,15.450.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-55-inch-qa55q7fa,Smart Tivi QLED,55 inch,4K (Ultra HD),"Đèn nền: LED viền (Edge LED), LED viền (Edge LED)",Tizen™,Nhựa,Nhựa,Việt Nam,2025
