id,name,price,rate,link_product,Công nghệ hình ảnh,Tần số quét thực,Xuất xứ,Bảo hành,Loại Tivi,Kích thước màn hình,Khoảng kích thước màn hình,Công nghệ màn hình,Độ phân giải,Bluetooth,Cổng LAN,Wifi,Hệ điều hành,Remote thông minh,Điều khiển tivi bằng điện thoại,Cổng HDMI,Cổng USB,Cổng xuất âm thanh,Các ứng dụng sẵn có,Công nghệ âm thanh,Tổng công suất loa,"Kích thước có chân, đặt bàn",Khối lượng có chân,Bộ xử lý
0,Smart Tivi Samsung QLED 4K Vision AI 75 inch QA75Q8FA,"31,990,000",5.0,https://hc.com.vn/ords/product/tivi-samsung-qa75q8fa,"Công nghệ Quantum Dot, Công nghệ Quantum HDR+, Công nghệ đèn nền Dual LED, Công nghệ Motion Xcelerator, Công nghệ Supreme UHD Dimming, Công nghệ Color Booster Pro, AI Generative Wallpaper, EyeComfort, Smart Calibration",50 Hz,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,QLED,Ultra HD 4K (3840 x 2160 Pixel),Bluetooth 5.3,Có,Có,Tizen OS,Điều khiển One Remote Control tích hợp Solar Cell Remote,SmartThings,,,,,,,,,
1,Smart Tivi Samsung 4K 55 inch UA55U8500F,"13,490,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-ua55u8500f,"HDR, HDR 10+, UHD Dimming, Motion Xcelerator, 4K Upscaling, Filmmaker Mode, Mega Contrast",50Hz,,2 năm,Smart Tivi,55,Từ 55 - 64 inch,LED,Ultra HD 4K (3840 x 2160 Pixel),BT5.3,Có,Wi-Fi 5,Tizen™ Smart TV,,AirPlay,3 cổng,1 cổng,,,,,,,
2,Smart Tivi Khung Tranh The Frame QLED Samsung 4K 75 inch QA75LS03D,"34,490,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-qa75ls03d,"HDR (High Dynamic Range), HDR 10+, Dual LED, Wide Viewing Angle, Supreme UHD Dimming, Real Depth Enhancer, Motion Xcelerator 120Hz, Smart Calibration, Picture Upscale, Filmmaker Mode",100Hz,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,QLED,Ultra HD 4K (3840 x 2160 Pixel),BT5.2,Có,Wi-Fi 5,Tizen™ Smart TV,,,4 cổng HDMI,2 cổng USB A,,,,,,,
3,Smart Tivi Samsung 4K 65 inch UA65U8500F,"16,490,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-ua65u8500f,"HDR, HDR 10+, UHD Dimming, Motion Xcelerator, 4K Upscaling, Filmmaker Mode, Mega Contrast",50Hz,,2 năm,Smart Tivi,65,Từ 65 - 74 inch,LED,Ultra HD 4K (3840 x 2160 Pixel),BT5.3,Có,Wi-Fi 5,Tizen™ Smart TV,,AirPlay,3 cổng,1 cổng,,,,,,,
4,Samsung Smart AI Tivi Mini LED 4K 55 inch QA55QN85D,"18,990,000",5.0,https://hc.com.vn/ords/product/tivi-samsung-qa55qn85d,NQ4 AI Gen2 Processor | HDR 10+ (Adaptive/Gaming) | Neo Quantum HDR | 4K AI Upscaling | Wide Viewing Angle | Real Depth Enhancer | Quantum MatrixTechnology | Supreme UHD Dimming | Motion Xcelerator 120Hz | Smart Calibration (Basic) | Filmmaker Mode | Auto HDR Remastering | HDR Brightness Optimizer,100Hz,Việt Nam,2 năm,Smart Tivi,55,Từ 55 - 64 inch,Mini LED,Ultra HD 4K (3840 x 2160 Pixel),Có (BT5.2),Có,Có (Wi-Fi 5),,,,4 cổng,2 x USB-A,Cổng Optical (Digital Audio Out),,,,,,
5,Smart Tivi Samsung QLED Vision AI 4K 85 inch QA85Q7FA,"39,990,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-qa85q7fa,,,,,,,,,,,,,,,,,,,,,,,,
6,Smart Tivi Samsung QLED Vision AI 4K 65 inch QA65Q7FA,"17,490,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-qa65q7fa,,,,,,,,,,,,,,,,,,,,,,,,
7,Smart Tivi QLED Samsung 4K 65 inch QA65Q60D,"14,490,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-qa65q60d,"HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling",,Việt Nam,2 năm,Smart Tivi,65,Từ 65 - 74 inch,QLED,Ultra HD 4K (3840 x 2160 Pixel),Có,,Có,Tizen™ Smart TV,,SmartThings,,,,"YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web","Object Tracking Sound, Q-Symphony, Adaptive Sound",20W,,,
8,Smart Tivi Samsung 4K 75 inch UA75DU8000,"17,490,000",4.9,https://hc.com.vn/ords/product/tivi-samsung-ua75du8000,"HDR (High Dynamic Range), HDR 10+, AI HDR Remastering, Mega Contrast, UHD Dimming, Contrast Enhancer, Motion Xcelerator, 4K Upscaling, Filmmaker Mode",50Hz,Việt Nam,2 năm,Smart Tivi,75,75 inch trở lên,LED,Ultra HD 4K (3840 x 2160 Pixel),BT5.2,Có,Wi-Fi 5,Tizen™,,,3 cổng có 1 cổng HDMI eARC (ARC),2 cổng USB A,,,,,,,
9,Smart Tivi Samsung 4K 65 inch UA65DU8000,"13,490,000",4.8,https://hc.com.vn/ords/product/tivi-samsung-ua65du8000,"HDR (High Dynamic Range), HDR 10+, AI HDR Remastering, Mega Contrast, UHD Dimming, Contrast Enhancer, Motion Xcelerator, 4K Upscaling, Filmmaker Mode",50Hz,Việt Nam,2 năm,Smart Tivi,65,Từ 65 - 74 inch,LED,Ultra HD 4K (3840 x 2160 Pixel),BT5.2,Có,Wi-Fi 5,Tizen™,,,3 cổng có 1 cổng HDMI eARC (ARC),2 cổng USB A,,,,,,,
