id,name,price,rate,description,link_product
0,Tivi Qled SAMSUNG 4K 55 Inch QA55Q60D,11.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '55 inch', 'Bộ xử lý': 'Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Ứng dụng phổ biến': 'HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2'}",https://pico.vn/tivi-qled-samsung-4k-55-inch-qa55q60d-QA55Q60D
1,Tivi Qled SAMSUNG 4K 65 Inch QA65Q60D,12.990.000đ,4.9,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '65 inch', 'Bộ xử lý': 'Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Ứng dụng phổ biến': 'HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2'}",https://pico.vn/tivi-qled-samsung-4k-65-inch-qa65q60d-QA65Q60D
2,Tivi Qled SAMSUNG 4k 85 Inch QA85Q60D,38.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '85 inch', 'Bộ xử lý': 'Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát', 'Độ phân giải': '4K', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Ứng dụng phổ biến': 'HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2'}",https://pico.vn/tivi-qled-samsung-4k-85-inch-qa85q60d-QA85Q60D
3,Tivi Qled SAMSUNG 4K 50 Inch QA50Q60D,11.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '50 inch', 'Bộ xử lý': 'Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Ứng dụng phổ biến': 'HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2'}",https://pico.vn/tivi-qled-samsung-4k-50-inch-qa50q60d-QA50Q60D
4,Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q7FA,13.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '50 inch', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Cổng giao tiếp và kết nối': 'Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3'}",https://pico.vn/tivi-qled-samsung-qa50q7fa-50-inch-4k-ultra-hd-QA50Q7FA
5,Tivi Qled Samsung 55 Inch 4K Ultra HD QA55Q7FA,13.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '55 inch', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Cổng giao tiếp và kết nối': 'Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3'}",https://pico.vn/tivi-qled-samsung-qa55q7fa-55-inch-4k-ultra-hd-QA55Q7FA
6,Tivi Qled Samsung 65 Inch 4K Ultra QA65Q7FA,15.990.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '65 inch', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Cổng giao tiếp và kết nối': 'Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3'}",https://pico.vn/tivi-qled-samsung-qa65q7fa-65-inch-4k-ultra-hd-QA65Q7FA
7,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q7FA,22.990.000đ,4.9,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '75 inch', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Cổng giao tiếp và kết nối': 'Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3'}",https://pico.vn/tivi-qled-samsung-qa75q7fa-75-inch-4k-ultra-hd-QA75Q7FA
8,Tivi Qled Samsung 85 Inch 4K Ultra HD QA85Q7FA,37.990.000đ,4.9,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '85 inch', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Cổng giao tiếp và kết nối': 'Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3'}",https://pico.vn/tivi-qled-samsung-qa85q7fa-85-inch-4k-ultra-hd-QA85Q7FA
9,Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q8FA,14.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '50 inch', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2025', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt', 'Cổng giao tiếp và kết nối': 'Kếtnối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3'}",https://pico.vn/tivi-qled-samsung-qa50q8fa-50-inch-4k-ultra-hd-QA50Q8FA
