id,name,price,rate,link_product,Thương hiệu,Loại Tivi,Màn hình,Bộ xử lý,Độ phân giải,Hệ điều hành,Nơi sản xuất,Tiện ích,Ứng dụng phổ biến,Năm ra mắt,Cổng giao tiếp và kết nối,Kích thước có chân,Khối lượng có chân,Kích thước không chân
0,Tivi Qled SAMSUNG 4K 55 Inch QA55Q60D,11.990.000,4.8,https://pico.vn/tivi-qled-samsung-4k-55-inch-qa55q60d-QA55Q60D,SAMSUNG,Tivi QLED,55 inch,Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,"HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2",,,,,
1,Tivi Qled SAMSUNG 4K 65 Inch QA65Q60D,12.990.000,4.9,https://pico.vn/tivi-qled-samsung-4k-65-inch-qa65q60d-QA65Q60D,SAMSUNG,Tivi QLED,65 inch,Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,"HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2",,,,,
2,Tivi Qled SAMSUNG 4k 85 Inch QA85Q60D,38.990.000,4.8,https://pico.vn/tivi-qled-samsung-4k-85-inch-qa85q60d-QA85Q60D,SAMSUNG,Tivi QLED,85 inch,Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát,4K,,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,"HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2",,,,,
3,Tivi Qled SAMSUNG 4K 50 Inch QA50Q60D,11.990.000,4.8,https://pico.vn/tivi-qled-samsung-4k-50-inch-qa50q60d-QA50Q60D,SAMSUNG,Tivi QLED,50 inch,Bộ xử lý hình ảnh Quantum Processor Lite 4K: : Bộ xử lí Quantum Lite tối ưu hóa hình ảnh từ nguồn phát,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,"HĐH Tizen, giao diện cải tiến, kho ứng dụng phong phú và nội dung 4K lớn nhất, Tích hợp ứng dụng Apple TV & AirPlay 2",,,,,
4,Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q7FA,13.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa50q7fa-50-inch-4k-ultra-hd-QA50Q7FA,SAMSUNG,Tivi QLED,50 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
5,Tivi Qled Samsung 55 Inch 4K Ultra HD QA55Q7FA,13.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa55q7fa-55-inch-4k-ultra-hd-QA55Q7FA,SAMSUNG,Tivi QLED,55 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
6,Tivi Qled Samsung 65 Inch 4K Ultra QA65Q7FA,15.990.000,5.0,https://pico.vn/tivi-qled-samsung-qa65q7fa-65-inch-4k-ultra-hd-QA65Q7FA,SAMSUNG,Tivi QLED,65 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
7,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q7FA,22.990.000,4.9,https://pico.vn/tivi-qled-samsung-qa75q7fa-75-inch-4k-ultra-hd-QA75Q7FA,SAMSUNG,Tivi QLED,75 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
8,Tivi Qled Samsung 85 Inch 4K Ultra HD QA85Q7FA,37.990.000,4.9,https://pico.vn/tivi-qled-samsung-qa85q7fa-85-inch-4k-ultra-hd-QA85Q7FA,SAMSUNG,Tivi QLED,85 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kết nối: 3x HDMI, 1 x USB –A | Wifi5, Bluetooth5.3",,,
9,Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q8FA,14.990.000,4.8,https://pico.vn/tivi-qled-samsung-qa50q8fa-50-inch-4k-ultra-hd-QA50Q8FA,SAMSUNG,Tivi QLED,50 inch,Bộ xử lý Q4 AI Processor: Nâng cấp trải nghiệm giải trí với bộ xử lý trí tuệ AI,4K,TizenOS,Việt Nam,Tìm kiếm bằng giọng nói tiếng Việt,,2025,"Kếtnối: 3x HDMI, 2 x USB –A | Wifi5, Bluetooth5.3",,,
